t,speed,mph,steer,throttle,longG,latG,yaw,expectYaw,understeer,oversteer,jolt,angVelX,angVelZ,vy,fireRaw,fxActive,fxFired,center,corner,oversteer,brake,texture,scrub,judder,impact,weapon,force
1.747,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.768,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
1.784,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.801,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.817,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
1.837,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.855,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
1.871,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.888,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.909,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
1.925,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.941,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
1.958,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.975,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.996,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.014,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.030,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.046,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.067,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.090,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.122,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.143,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.168,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.185,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.215,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.237,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.254,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.271,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.287,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.307,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.325,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.341,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.358,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
2.378,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.396,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.412,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.429,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.449,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
2.466,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.497,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.514,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.534,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.552,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
